mvPI,vePI,group
0.046010601,0.579961134,ICA
0.120672067,0.733470279,ICA
0.104561171,0.485645772,ICA
0.045050212,0.423906873,ICA
0.046107168,0.538081005,ICA
0.083665222,0.444841003,ICA
0.06404592,0.469112751,ICA
0.037174091,0.606751331,ICA
0.036547224,0.449291717,ICA
0.042125559,0.618236555,ICA
0.046950668,0.695137317,ICA
0.182944197,0.659902951,ICA
0.176139465,0.703670417,ICA
0.160656914,0.673530562,ICA
0.106001332,0.556898922,ICA
0.120544966,0.608384215,ICA
0.135909057,0.551355966,ICA
0.121332393,0.741480742,ICA
0.047514879,0.50152116,ICA
0.077406372,0.530661954,ICA
0.046010601,0.646408259,MCA
0.120672067,0.660342287,MCA
0.104561171,0.595253482,MCA
0.045050212,0.488552031,MCA
0.046107168,0.603135337,MCA
0.083665222,0.590154195,MCA
0.06404592,0.476836688,MCA
0.037174091,0.688489402,MCA
0.036547224,0.534913409,MCA
0.042125559,0.692252267,MCA
0.046950668,0.727147113,MCA
0.182944197,0.815828237,MCA
0.176139465,0.69595007,MCA
0.160656914,0.778039071,MCA
0.106001332,0.641960521,MCA
0.120544966,0.766331926,MCA
0.135909057,0.688929836,MCA
0.121332393,0.918699988,MCA
0.047514879,0.629216309,MCA
0.077406372,0.662774397,MCA